id_operadora,id_validador,data,estado_equipamento,primeiro_datetime_gps,ultimo_datetime_gps,qtde_min_entre_a_prim_e_ultima_transmissao,qtde_min_distintos_houve_transmissao,qtde_registros_gps,qtde_registros_gps_georreferenciados,percentual_registros_gps_georreferenciados,percentual_transmissao_a_cada_min
810001794,B35T020D00210396,2026-04-26,ABERTO,2026-04-26 00:00:42.248635,2026-04-26 00:04:42.245007,5,5,5,5,1.0,1.0
810006966,B35T020D00206276,2026-04-26,ABERTO,2026-04-26 00:00:05.537378,2026-04-26 00:04:05.480296,5,5,5,5,1.0,1.0
810002478,B35T020D00206413,2026-04-26,ABERTO,2026-04-26 00:00:04.292096,2026-04-26 00:04:04.06988,5,5,5,5,1.0,1.0
810012105,B35T020D00207724,2026-04-26,ABERTO,2026-04-26 00:00:27.332049,2026-04-26 00:04:27.329084,5,5,5,5,1.0,1.0
463264601,B35T020D00208857,2026-04-26,ABERTO,2026-04-26 00:00:28.007737,2026-04-26 00:04:27.699913,5,5,5,5,1.0,1.0
760066407,B35T020D00201286,2026-04-26,ABERTO,2026-04-26 00:00:36.398434,2026-04-26 00:04:36.335021,5,5,5,5,1.0,1.0
810007358,B35T020D00204642,2026-04-26,ABERTO,2026-04-26 00:00:52.830703,2026-04-26 00:04:52.983612,5,5,5,5,1.0,1.0
810018389,B35T020D00204068,2026-04-26,ABERTO,2026-04-26 00:00:44.516846,2026-04-26 00:04:44.697628,5,5,5,5,1.0,1.0
810008838,B5AT020D00600206,2026-04-26,ABERTO,2026-04-26 00:00:41.857257,2026-04-26 00:04:41.64466,5,5,5,5,1.0,1.0
810017137,B5AT020D00600574,2026-04-26,ABERTO,2026-04-26 00:00:17.418254,2026-04-26 00:04:17.421747,5,5,5,5,1.0,1.0
810016383,B35T020D00202070,2026-04-26,ABERTO,2026-04-26 00:00:00.654991,2026-04-26 00:04:00.459003,5,5,5,5,1.0,1.0
810015946,B35T020D00205963,2026-04-26,ABERTO,2026-04-26 00:00:18.436097,2026-04-26 00:04:18.031927,5,5,5,5,1.0,1.0
810009965,B35T020D00210382,2026-04-26,ABERTO,2026-04-26 00:00:22.285423,2026-04-26 00:04:21.92022,5,5,5,5,1.0,1.0
810019966,B35T020D00203096,2026-04-26,ABERTO,2026-04-26 00:00:43.164783,2026-04-26 00:04:43.337691,5,5,5,5,1.0,1.0
810020872,B5AT020D00600280,2026-04-26,ABERTO,2026-04-26 00:00:56.013548,2026-04-26 00:04:55.990185,5,5,5,5,1.0,1.0
810003903,B5AT020D00600263,2026-04-26,ABERTO,2026-04-26 00:00:15.987977,2026-04-26 00:04:15.786976,5,5,5,5,1.0,1.0
810015681,B35T020D00204046,2026-04-26,ABERTO,2026-04-26 00:00:51.516976,2026-04-26 00:04:51.526641,5,5,5,5,1.0,1.0
810003444,B35T020D00201179,2026-04-26,ABERTO,2026-04-26 00:00:18.530454,2026-04-26 00:04:18.462034,5,5,5,5,1.0,1.0
810013278,B35T020D00205648,2026-04-26,ABERTO,2026-04-26 00:00:41.794289,2026-04-26 00:04:41.990459,5,5,5,5,1.0,1.0
810002201,B35T020D00204869,2026-04-26,ABERTO,2026-04-26 00:00:29.131333,2026-04-26 00:04:28.956686,5,5,5,5,1.0,1.0
810013728,B35T020D00204625,2026-04-26,ABERTO,2026-04-26 00:00:03.600805,2026-04-26 00:04:02.730545,5,5,5,5,1.0,1.0
810018200,B35T020D00206254,2026-04-26,ABERTO,2026-04-26 00:00:49.059131,2026-04-26 00:04:49.330615,5,5,5,5,1.0,1.0
810021042,B5AT020D00600393,2026-04-26,ABERTO,2026-04-26 00:00:47.065939,2026-04-26 00:04:47.20344,5,5,5,5,1.0,1.0
463325007,B35T020D00209607,2026-04-26,ABERTO,2026-04-26 00:00:30.829542,2026-04-26 00:04:30.720298,5,5,5,5,1.0,1.0
810004951,B35T020D00207663,2026-04-26,ABERTO,2026-04-26 00:00:56.361128,2026-04-26 00:04:56.459227,5,5,5,5,1.0,1.0
810015140,B35T020D00202565,2026-04-26,ABERTO,2026-04-26 00:00:40.288859,2026-04-26 00:04:39.921794,5,5,5,5,1.0,1.0
463265783,B35T020D00202438,2026-04-26,ABERTO,2026-04-26 00:00:45.251245,2026-04-26 00:04:45.629544,5,5,5,5,1.0,1.0
